Line,Item,HTML Code,Link,Image,Price
Everyday,Simplistic Shirt,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/simplistic-t-shirt-21200000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/simplistic-t-shirt-21200000001/,https://i.imgur.com/w20Xh2a.png,20.00
Everyday,Simplistic Pants,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/simplistic-pants-22200000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/simplistic-pants-22200000001/,https://i.imgur.com/S5kdvyc.png,35.00
Everyday,Simplistic Sweater,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/simplistic-sweater-23200000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/simplistic-sweater-23200000001/,https://i.imgur.com/cL4YpNv.png,40.00
Everyday,Simplistic Jacket,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/simplistic-jacket-24200000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/simplistic-jacket-24200000001/,https://i.imgur.com/7gOipcs.png,60.00
Everyday,Holiday Shirt,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/holiday-t-shirt-21100000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/holiday-t-shirt-21100000001/,https://i.imgur.com/akNvuY8.png,20.00
Everyday,Holiday Pants,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/holiday-pants-22100000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/holiday-pants-22100000001/,https://i.imgur.com/3vzPKbp.png,35.00
Everyday,Holiday Sweater,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/holiday-sweater-23100000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/holiday-sweater-23100000001/,https://i.imgur.com/fmzfqON.png,40.00
Everyday,Holiday Jacket,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/holiday-jacket-24100000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/holiday-jacket-24100000001/,https://i.imgur.com/xxN88t5.png,60.00
Everyday,Streetwear Shirt,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/streetwear-t-shirt-21300000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/streetwear-t-shirt-21300000001/,https://i.imgur.com/T2dhK9q.png,20.00
Everyday,Streetwear Pants,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/streetwear-pants-22300000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/streetwear-pants-22300000001/,https://i.imgur.com/OdlyZBK.png,35.00
Everyday,Streetwear Sweater,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/streetwear-sweater-23300000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/streetwear-sweater-23300000001/,https://i.imgur.com/jm23p0t.png,40.00
Everyday,Streetwear Jacket,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/streetwear-jacket-24300000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/streetwear-jacket-24300000001/,https://i.imgur.com/oZEwfkv.png,60.00
Revival,Simplistic Shirt,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/simplistic-t-shirt-21200000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/simplistic-t-shirt-21200000001/,https://i.imgur.com/NhVAp0W.png,30.00
Revival,Simplistic Pants,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/revival-simplistic-pants-22230000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/revival-simplistic-pants-22230000001/,https://i.imgur.com/Gm1ISqb.png,50.00
Revival,Simplistic Sweater,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/revival-simplistic-sweater-23230000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/revival-simplistic-sweater-23230000001/,https://i.imgur.com/jjbyc5z.png,60.00
Revival,Simplistic Jacket,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/revival-simplistic-jacket-24230000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/revival-simplistic-jacket-24230000001/,https://i.imgur.com/K8pERDM.png,100.00
Revival,Holiday Shirt,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/revival-holiday-t-shirt-21130000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/revival-holiday-t-shirt-21130000001/,https://i.imgur.com/sPBrkyo.png,30.00
Revival,Holiday Pants,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/revival-holiday-pants-22130000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/revival-holiday-pants-22130000001/,https://i.imgur.com/QptmgK1.png,50.00
Revival,Holiday Sweater,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/revival-holiday-sweater-23130000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/revival-holiday-sweater-23130000001/,https://i.imgur.com/IFwfWZC.png,60.00
Revival,Holiday Jacket,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/revival-holiday-jacket-24130000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/revival-holiday-jacket-24130000001/,https://i.imgur.com/F0Wr97K.png,100.00
Revival,Streetwear Shirt,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/revival-streetwear-t-shirt-21330000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/revival-streetwear-t-shirt-21330000001/,https://i.imgur.com/QPKNadj.png,30.00
Revival,Streetwear Pants,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/revival-streetwear-pants-22330000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/revival-streetwear-pants-22330000001/,https://i.imgur.com/tTyssv9.png,50.00
Revival,Streetwear Sweater,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/revival-streetwear-sweater-23330000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/revival-streetwear-sweater-23330000001/,https://i.imgur.com/x0bAuyf.png,60.00
Revival,Streetwear Jacket,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/revival-streetwear-jacket-24330000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/revival-streetwear-jacket-24330000001/,https://i.imgur.com/CWddchT.png,100.00
Bundle,Mystery Everyday Bundle,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/mystery-everyday-bundle-21160000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/mystery-everyday-bundle-21160000001/,,116.00
Bundle,Mystery Revival Bundle,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/mystery-revival-bundle-21260000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/mystery-revival-bundle-21260000001/,,180.00
Bundle,Mystery Holiday Bundle,"<a href=""https://portal.veinternational.org/buybuttons/us015436/btn/mystery-holiday-bundle-21360000001/""><button>Buy</button></a>",https://portal.veinternational.org/buybuttons/us015436/btn/mystery-holiday-bundle-21360000001/,,148.00
